timestamp,model,freeze_mode,seed,best_val_acc,test_acc
2025-12-26T19:02:32.920179,vit_b_16,freeze_none,1,75.00,75.00
2025-12-26T19:12:16.947290,vit_b_16,freeze_patch,1,78.00,69.00
2025-12-26T19:21:39.649354,vit_b_16,freeze_patch_0_2,1,78.00,68.00
2025-12-26T19:30:39.224453,vit_b_16,freeze_patch_0_5,1,75.00,68.00
2025-12-26T19:34:58.919289,vit_b_16,freeze_patch_0_11,1,66.00,64.00
2025-12-26T20:03:44.154491,vit_b_16,freeze_none,8,77.00,75.00
2025-12-26T20:13:29.020148,vit_b_16,freeze_patch,8,79.00,69.00
2025-12-26T20:22:46.933934,vit_b_16,freeze_patch_0_2,8,80.00,73.00
2025-12-26T20:31:39.746164,vit_b_16,freeze_patch_0_5,8,78.00,73.00
2025-12-26T20:36:03.913366,vit_b_16,freeze_patch_0_11,8,66.00,64.00
2025-12-26T20:54:01.171805,vit_b_16,freeze_none,16,75.00,74.00
2025-12-26T21:03:45.074865,vit_b_16,freeze_patch,16,79.00,67.00
2025-12-26T21:13:10.669494,vit_b_16,freeze_patch_0_2,16,79.00,68.00
2025-12-26T21:22:03.772590,vit_b_16,freeze_patch_0_5,16,78.00,73.00
2025-12-26T21:26:22.770243,vit_b_16,freeze_patch_0_11,16,67.00,64.00
2025-12-26T21:38:21.180727,vit_b_16,freeze_none,24,79.00,72.00
2025-12-26T21:48:06.853430,vit_b_16,freeze_patch,24,81.00,72.00
2025-12-26T21:57:33.164939,vit_b_16,freeze_patch_0_2,24,80.00,72.00
2025-12-26T22:06:32.854246,vit_b_16,freeze_patch_0_5,24,75.00,77.00
2025-12-26T22:10:55.710222,vit_b_16,freeze_patch_0_11,24,65.00,68.00
