timestamp,model,freeze_mode,seed,best_val_acc,test_acc
2025-12-26T19:02:32,vit_b_16,freeze_none,1,75.00,75.00
2025-12-26T19:12:16,vit_b_16,freeze_patch,1,78.00,69.00
2025-12-26T19:21:39,vit_b_16,freeze_patch_0_2,1,78.00,68.00
2025-12-26T19:30:39,vit_b_16,freeze_patch_0_5,1,75.00,68.00
2025-12-26T19:34:58,vit_b_16,freeze_patch_0_11,1,66.00,64.00
2025-12-26T20:03:44,vit_b_16,freeze_none,8,77.00,75.00
2025-12-26T20:13:29,vit_b_16,freeze_patch,8,79.00,69.00
2025-12-26T20:22:46,vit_b_16,freeze_patch_0_2,8,80.00,73.00
2025-12-26T20:31:39,vit_b_16,freeze_patch_0_5,8,78.00,73.00
2025-12-26T20:36:03,vit_b_16,freeze_patch_0_11,8,66.00,64.00
2025-12-26T20:54:01,vit_b_16,freeze_none,16,75.00,74.00
2025-12-26T21:03:45,vit_b_16,freeze_patch,16,79.00,67.00
2025-12-26T21:13:10,vit_b_16,freeze_patch_0_2,16,79.00,68.00
2025-12-26T21:22:03,vit_b_16,freeze_patch_0_5,16,78.00,73.00
2025-12-26T21:26:22,vit_b_16,freeze_patch_0_11,16,67.00,64.00
2025-12-26T21:38:21,vit_b_16,freeze_none,24,79.00,72.00
2025-12-26T21:48:06,vit_b_16,freeze_patch,24,81.00,72.00
2025-12-26T21:57:33,vit_b_16,freeze_patch_0_2,24,80.00,72.00
2025-12-26T22:06:32,vit_b_16,freeze_patch_0_5,24,75.00,77.00
2025-12-26T22:10:55,vit_b_16,freeze_patch_0_11,24,65.00,68.00
2025-12-27T13:42:49,vit_b_16,freeze_none,32,75.00,72.00
2025-12-27T13:52:59,vit_b_16,freeze_patch,32,77.00,73.00
2025-12-27T14:02:45,vit_b_16,freeze_patch_0_2,32,77.00,71.00
2025-12-27T14:12:07,vit_b_16,freeze_patch_0_5,32,79.00,76.00
2025-12-27T14:16:44,vit_b_16,freeze_patch_0_11,32,67.00,66.00
2025-12-27T14:28:26,vit_b_16,freeze_none,40,73.00,70.00
2025-12-27T14:38:42,vit_b_16,freeze_patch,40,78.00,66.00
2025-12-27T14:48:26,vit_b_16,freeze_patch_0_2,40,79.00,74.00
2025-12-27T14:57:43,vit_b_16,freeze_patch_0_5,40,75.00,70.00
2025-12-27T15:02:19,vit_b_16,freeze_patch_0_11,40,64.00,61.00
2025-12-27T15:13:16,vit_b_16,freeze_none,48,81.00,67.00
2025-12-27T15:23:28,vit_b_16,freeze_patch,48,78.00,70.00
2025-12-27T15:33:16,vit_b_16,freeze_patch_0_2,48,80.00,75.00
2025-12-27T15:42:40,vit_b_16,freeze_patch_0_5,48,77.00,73.00
2025-12-27T15:47:17,vit_b_16,freeze_patch_0_11,48,64.00,63.00
2025-12-27T16:00:00,vit_b_16,freeze_none,56,74.00,67.00
2025-12-27T16:10:00,vit_b_16,freeze_patch,56,80.00,64.00
2025-12-27T16:20:00,vit_b_16,freeze_patch_0_2,56,83.00,72.00
2025-12-27T16:30:00,vit_b_16,freeze_patch_0_5,56,79.00,73.00
2025-12-27T16:35:00,vit_b_16,freeze_patch_0_11,56,64.00,59.00
2025-12-27T16:46:53.960424,vit_b_16,freeze_none,64,78.00,73.00
2025-12-27T16:57:06.773895,vit_b_16,freeze_patch,64,81.00,72.00
2025-12-27T17:06:52.511800,vit_b_16,freeze_patch_0_2,64,81.00,70.00
2025-12-27T17:16:19.333815,vit_b_16,freeze_patch_0_5,64,82.00,75.00
2025-12-27T17:20:49.945354,vit_b_16,freeze_patch_0_11,64,64.00,60.00
2025-12-27T17:37:37.638678,vit_b_16,freeze_none,72,77.00,71.00
2025-12-27T17:48:34.904670,vit_b_16,freeze_patch,72,79.00,69.00
2025-12-27T17:58:21.140469,vit_b_16,freeze_patch_0_2,72,79.00,68.00
2025-12-27T18:07:41.576350,vit_b_16,freeze_patch_0_5,72,77.00,74.00
2025-12-27T18:13:01.300352,vit_b_16,freeze_patch_0_11,72,65.00,62.00
